ID,lexeme,parse,root,lexical category,topic,Level,English,ex sh1,ex se1,ex sh2,ex se2,ex sh3,ex se3,ex sh4,ex se4,ex sh5,ex se5,ex sh6,ex se6,ex sh7,ex se7,ex sh8,ex se8,ex sh9,ex se9,ex sh10,ex se10,ex sh11,ex es11,ex sh12,ex se12,
2,tsakw ,√tsakw,√tsakw,ADJ,DES,B,"far, distant",nem' tsun nem' 'u kwu tsakw sta'luw'.,I am going to go to the distant river. (EW),tsakw tthu shnem's kws 'i'mushs 'i' tl'e' wulh hwunin'sus tthu nuts'a' xatsa'.,He had gone far when he got to another lake. (WS Eagle Story),nem' tsakw tthu qa' nem' hwtsukwtsukw.,The tide was going out and was at its lowest point. (WS Seal Story),nuw' tsakw tthu ni' shni's tthu snuhwulhs.,The canoe was far from where he was. (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,hwutsakw ,hwu-√tsakw,√tsakw,ADJ,DES,C,"far, quite far",ni- i- i' ts'u wulh nem' hwutsakw 'i' wulh si'si'.,When she had gone quite far she became afraid. (CA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,tsukwtsukw ,√tsakw-RDP,√tsakw,N,NAT,C,low tide,kw'in 'i' tsukwtsukw lhu qa'.,What time does the tide go down? (RP 80B),tsukwtsukw thu qa'.,The tide is low. (RP 3FEB81),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,hwun’tsakw ,hwun’-√tsakw,√tsakw,ADJ,DES,C,far (still far),hwun'tsakw 'i' wulh t'ilum.,He was still far (from home) and he started singing. (CA t'ut'um'),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,hwtskwilum ,hw-√tsakw- il- m,√tsakw,V,MOT,C,far: go far,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,hwtsukwkwilum ,hw-√tsakw- il- m-RDP,√tsakw,V,MOT,C,far: go too far,wulh si'si' thuw'nilh 'uw' ne'mus 'uw' hwtsukwkwilum tth u mun'us.,She became afraid that her son would go too far from home. (CA Stone Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,hwtsakwkwi’lum’ ,hw-√tsakw- il- m-PROG,√tsakw,V,MOT,C,going too far,kw'u shwtsakwkwi'lum'.,if you ever go too far. (CA 20675),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,tskwalus ,√tsakw-alus,√tsakw,N,NAT,C,"low tide (very low, when the water goes way out)",wulh nilh yuhw p'e' lhu tskwalus qa' tun'a. ,This must be the lowest tide. (RP 80B),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,tsala’lh ,√tsala’lh,√tsala’lh,V,ACT,NA,borrow; rent,tsala'lh tsun tse' 'u lhu swetus.,I am going to borrow her sweater. (RP 5FEB80),nem' tsun tsala'lh 'u kw' shthukw'un'up.,I am going to rent a roller. (RP 80BB),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,tsala’lhiilh ,√tsala’lh-iilh,√tsala’lh,V,ACT,NA,borrow: come to borrow something,i tsun tsala'lhiilh 'u kwthu thi un' shqwal's.,I have come to borrow your big pot. (RP 18DEC80),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
